Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,26138561.95,1448121.39,2461687.20,10750,0,13986,0,24660,0,1452,0,68,0.768556616031695,14916
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,29477755.36,610695.38,206650.00,6989,0,3242,0,14860,0,1668,0,80,0.9572994894376597,20724
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,7584178.81,153456.38,21800.00,2378,0,3822,0,5466,0,229,0,18,0.6021109112664875,2340
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,4503575.74,3853173.77,3335184.00,2031,0,1009,0,5123,0,832,0,21,0.9684010087211458,9816
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,7174125.49,945349.72,2667366.00,849,0,636,0,1988,0,281,0,67,0.16352562567753282,13308
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,5044935.62,1041202.40,1853052.00,1029,0,403,0,2929,0,259,0,11,0.9496626275970186,3708
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,3863759.70,2283833.90,335532.53,1438,0,1022,0,3719,0,326,0,37,0.8881223238287808,4536
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,3460926.94,1371259.38,412375.06,1472,0,1148,0,3047,0,267,0,36,0.9328501029384239,3552
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,2378554.32,563676.24,428342.19,535,0,288,0,1451,0,178,0,25,0.9289047081548559,2340
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,30455337.12,0.00,0,8487,0,5969,0,19332,0,2405,72,0.9772188956202228,29964
