Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,33717386.20,1165752.08,2743032.60,9502,0,11717,0,21788,0,1524,0,92,0.8163959182256597,16620
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,35907163.93,659219.09,258280.00,7239,0,5054,0,18130,0,1959,0,82,0.9404038722925699,25956
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,22271174.22,263611.86,48920.00,3944,0,6217,0,10011,0,494,0,33,0.804404178951517,5052
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,9067511.56,4634978.73,4086558.00,2756,0,804,0,6274,0,929,0,27,0.9806258237309525,12012
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,11124121.49,2636295.58,5992044.00,2236,0,1405,0,4950,0,436,0,81,0.378030841308752,22200
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,4231089.65,993100.10,2336938.00,956,0,535,0,2408,0,352,0,12,0.9749362294296507,4704
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,1960943.68,886926.96,227220.45,509,0,181,0,1215,0,150,0,25,0.9607053268944984,2196
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,1801450.76,678944.29,274588.76,473,0,134,0,1119,0,157,0,21,0.9760359729790614,1980
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,1491456.79,256204.10,221727.83,245,0,115,0,678,0,74,0,10,0.9899887154361947,732
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,40097334.22,0.00,0,8035,0,3708,0,20552,0,2493,75,0.9943837820798158,34860
